Time,Temp,SoC,DoD,C,V,R0
28280513.3,13.33409935,0.5175,0.060012691,-20.28253095,3.828537827,0.002244805
24739391.5,13.5493508,0.5638,0.276215454,-18.77530797,3.8048649,0.002157297
8063734.2,14.44444444,0.6458,0.092014971,-22.56951713,3.863076764,0.002139007
24681260.4,14.44444444,0.6872,0.030498281,-8.641240572,3.980137841,0.002206859
28209626.4,14.44444444,0.7735,0.117260085,-23.04293027,3.935787635,0.002129823
29766662.6,14.44444444,0.4534,0.115437455,-8.323523865,3.837683704,0.00223166
29939154.4,14.44444444,0.4915,0.057551309,-5.574767557,3.878764949,0.002245322
28244371.3,14.46819105,0.7001,0.142805342,-22.90507524,3.899442381,0.002000898
28382630.3,14.72576506,0.771,0.107017824,-23.1720586,3.928594449,0.002216771
31548015.4,14.74510705,0.3039,0.077245354,-13.43065319,3.760060264,0.002160881
28559640.4,14.80332452,0.5379,0.115388048,-18.21530816,3.831645689,0.002231451
9451394.5,15,0.7329,0.420647851,-14.84158137,3.876169857,0.001577128
10222874.6,15,0.7065,0.021805673,-7.055624764,3.997124387,0.001945215
24566779.4,15,0.6453,0.053737354,-12.02619022,3.92752647,0.002030449
24857893.2,15,0.6981,0.032163279,-9.507466222,3.976457048,0.002079058
24861033.2,15,0.6831,0.050261117,-12.19314726,3.947764334,0.002102917
24922974.3,15,0.7712,0.070440197,-13.05691675,3.986236992,0.002060488
29605681.3,15,0.7554,0.079521075,-9.238114168,3.986049856,0.002176727
25186433.5,15.00076602,0.6881,0.023380356,-9.477268508,3.974128568,0.002081215
8272520.2,15.05017427,0.3438,0.063127856,-20.13900231,3.770575231,0.002005101
31525949.3,15.27021334,0.3499,0.067602932,-13.68679151,3.789782053,0.002114094
8337191.1,15.3123444,0.6923,0.062277912,-18.72613885,3.938478112,0.001897978
31248812.3,15.49178444,0.726,0.045378403,-7.263101581,4.002287032,0.00217531
7945576.5,15.55555556,0.6861,0.054483,-18.95371054,3.931830668,0.001847052
7953519.5,15.55555556,0.6684,0.067891361,-16.29012171,3.92068246,0.00196892
10142828.3,15.55555556,0.6986,0.075157151,-12.46831954,3.964186101,0.001685063
24832425.3,15.55555556,0.7709,0.089580039,-14.42827118,3.981624747,0.001963666
25190832.5,15.55555556,0.6856,0.055426339,-11.92532678,3.953940727,0.001954959
29615058.4,15.55555556,0.6816,0.139242491,-14.35848246,3.912571794,0.0020068
29696463.4,15.55555556,0.686,0.077221605,-14.10502488,3.936790479,0.002069393
29781543.4,15.55555556,0.7783,0.068447303,-13.89226754,3.982800668,0.001976587
29866073.6,15.55555556,0.552,0.114571549,-8.722181413,3.885171119,0.002046768
26382537.3,15.64115822,0.2559,0.026853112,-6.229889068,3.775676684,0.001837205
8504920.4,15.72695239,0.7199,0.042520921,-9.638195305,4.001821596,0.001749829
28249163.3,15.78727642,0.6401,0.150208265,-14.54621891,3.88348968,0.001887102
24824183.5,15.88456088,0.6963,0.047440196,-13.62172555,3.961074233,0.001963395
8339329.5,16.11111111,0.665,0.050295879,-11.99772023,3.935139705,0.001830212
8852498.3,16.11111111,0.7284,0.039566665,-7.316634111,4.002649249,0.001819311
8932992.5,16.11111111,0.7459,0.413455285,-11.66405289,3.920326897,0.001621124
10415729.5,16.11111111,0.6797,0.027933139,-11.54015022,3.963071412,0.001774724
10924209.5,16.11111111,0.735,0.399653787,-15.32286006,3.875690287,0.001458927
25343967.2,16.11111111,0.5859,0.131108117,-24.78961659,3.842478314,0.001950686
25963366.6,16.11111111,0.7604,0.076141396,-8.131623118,4.006180248,0.001925826
26321531.2,16.11111111,0.5061,0.051920235,-10.16454775,3.870553153,0.002068504
26322520.6,16.11111111,0.442,0.035745746,-6.843593588,3.866257325,0.002039038
26383174.4,16.11111111,0.2221,0.025015842,-8.767883316,3.738370522,0.001611342
26464495.5,16.11111111,0.2417,0.037800844,-9.168659251,3.745071233,0.001828044
28388317.1,16.11111111,0.7134,0.093467034,-15.54789137,3.963693299,0.001781954
28984173.2,16.11111111,0.3061,0.06380792,-12.85233885,3.77379812,0.001873471
29059898.4,16.11111111,0.2121,0.036541834,-6.109440431,3.733370883,0.00196023
31011819.4,16.11111111,0.5041,0.130602288,-15.44530963,3.83128817,0.002009286
29418291.4,16.11513271,0.7413,0.064591959,-17.1000133,3.959399102,0.002046544
30182636.1,16.12375043,0.6834,0.075513034,-15.30680416,3.932541918,0.001909779
29621583.3,16.22237543,0.592,0.148748448,-14.49418342,3.863760141,0.001879485
28972888.4,16.28652955,0.3633,0.080736669,-15.31518205,3.791727351,0.001879413
31252597.2,16.40162396,0.6693,0.071806845,-15.84833627,3.909389831,0.001970443
25261720.4,16.54869968,0.6743,0.063649218,-10.38254053,3.95084238,0.001842555
26130336.3,16.54965721,0.6811,0.035997374,-11.83579862,3.952224636,0.001788042
12566922.5,16.63985599,0.7327,0.054984705,-12.58239929,3.98919509,0.001720014
8866498.4,16.66666667,0.7071,0.041646665,-5.329499458,3.99815226,0.001741025
10146081.2,16.66666667,0.6665,0.033765905,-8.153036597,3.964306627,0.001729708
10320154.4,16.66666667,0.7165,0.024722351,-8.15513491,4.0032879,0.001721796
10320670.3,16.66666667,0.6929,0.016215316,-7.901490506,3.994041139,0.001690304
10329604.5,16.66666667,0.69,0.041538203,-14.05036951,3.965091894,0.001747751
12048104.3,16.66666667,0.714,0.06944173,-12.02747518,3.990522459,0.001501791
